date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-12-02 00:00:00+05:30,148.81,150.21,147.01,147.28,16680269.0,0.0,0.0,
2024-12-03 00:00:00+05:30,148.0,149.26,147.52,148.2,12159196.0,0.0,0.0,
2024-12-04 00:00:00+05:30,149.0,152.9,148.71,151.05,21984506.0,0.0,0.0,
2024-12-05 00:00:00+05:30,151.05,152.0,149.71,150.84,11514970.0,0.0,0.0,
2024-12-06 00:00:00+05:30,150.84,159.64,150.55,158.0,62323577.0,0.0,0.0,
2024-12-09 00:00:00+05:30,159.4,160.95,157.75,159.2,29324888.0,0.0,0.0,
2024-12-10 00:00:00+05:30,159.64,159.93,155.3,156.85,16690253.0,0.0,0.0,
2024-12-11 00:00:00+05:30,156.85,165.99,156.55,164.91,86849772.0,0.0,0.0,
2024-12-12 00:00:00+05:30,164.9,166.9,161.36,162.73,39528508.0,0.0,0.0,
2024-12-13 00:00:00+05:30,161.5,161.83,156.09,159.32,27371411.0,0.0,0.0,
2024-12-16 00:00:00+05:30,160.0,162.8,158.5,158.94,19179446.0,0.0,0.0,
2024-12-17 00:00:00+05:30,158.75,160.33,156.0,156.66,18045496.0,0.0,0.0,
2024-12-18 00:00:00+05:30,156.0,156.88,153.05,153.35,13692945.0,0.0,0.0,
2024-12-19 00:00:00+05:30,148.5,153.49,148.1,152.84,15016841.0,0.0,0.0,
2024-12-20 00:00:00+05:30,152.19,154.19,148.0,148.41,16336702.0,0.0,0.0,
2024-12-23 00:00:00+05:30,149.0,150.28,146.9,147.79,14758199.0,0.0,0.0,
2024-12-24 00:00:00+05:30,147.79,149.71,146.61,147.86,11854675.0,0.0,0.0,
2024-12-26 00:00:00+05:30,148.0,149.5,145.52,146.89,11467576.0,0.0,0.0,
2024-12-27 00:00:00+05:30,146.89,147.78,145.9,146.22,8487014.0,0.0,0.0,
2024-12-30 00:00:00+05:30,146.05,158.0,144.7,153.35,40675811.0,0.0,0.0,
